"city","r1","r2","r3","r4","r5","r6","s1","s2","s3","s4","s5","s6"
"1","1","1","0","0","0","0","1","1","1","0","0","1"
"1","1","1","0","0","0","0","0","0","0","1","1","1"
"1","1","1","1","1","1","0","1","1","1","1","1","1"
"1","0","0","0","0","1","0","0","0","0","0","0","1"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","1","1","1","1","0","0","1","0","1","1","1","1"
"1","0","0","0","0","1","0","0","1","0","0","1","1"
"1","0","0","0","1","1","1","0","0","0","0","0","1"
"1","1","1","1","1","0","1","0","1","0","1","1","1"
"1","0","0","0","0","0","0","0","0","0","0","0","1"
"1","1","1","1","1","1","0","0","0","1","1","1","1"
"1","1","1","0","1","1","0","0","0","1","1","1","1"
"1","1","1","1","1","1","0","0","1","1","1","1","1"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","1","1","1","1","1","0","1","0","1","1","1","1"
"1","0","0","0","0","1","1","0","1","0","0","0","1"
"1","1","1","0","1","0","0","0","0","0","1","0","1"
"1","0","0","0","0","0","0","0","0","0","0","0","1"
"1","1","1","1","1","0","0","1","1","1","1","1","1"
"1","1","1","0","1","1","1","0","1","0","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","0","1","1","1","1"
"1","0","0","0","0","0","0","0","0","0","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","0","0","0","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","0","0","1","1","1"
"1","1","1","1","0","1","0","0","0","0","1","1","1"
"1","1","1","1","1","1","1","0","0","0","1","1","1"
"1","0","0","0","0","0","0","0","1","0","0","0","1"
"1","0","0","0","0","0","0","0","0","0","0","0","1"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","1","1","0","0","1","1","1","1","0","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","0","0","0","1","0","1","1","1"
"1","1","1","1","1","0","0","0","0","1","1","1","1"
"1","1","1","1","1","1","1","0","0","1","1","1","1"
"1","1","1","0","1","1","0","0","0","0","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","0","0","0","0","0","0","0","0","1","1","1","1"
"1","1","1","0","0","0","0","0","0","1","1","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","0","1","0","0","0","1","1","1","1"
"1","0","0","0","0","0","0","1","1","1","0","1","1"
"1","1","1","1","1","0","0","0","1","0","1","1","1"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","0","0","0","0","0","0","1","0","1","0","1","0"
"1","0","0","0","0","0","0","1","0","1","0","1","0"
"1","0","0","0","0","0","0","0","1","1","0","0","0"
"1","1","1","0","1","1","0","0","1","1","1","1","1"
"1","0","0","0","0","0","0","1","1","1","0","1","1"
"1","1","1","0","0","1","0","0","0","0","0","0","0"
"1","1","1","0","1","1","1","1","1","1","1","1","1"
"1","0","0","0","0","1","1","0","0","1","0","1","1"
"1","1","1","0","1","1","0","0","0","0","1","0","1"
"1","1","1","0","1","1","0","0","0","0","0","0","1"
"1","1","1","1","1","1","0","0","0","0","1","1","1"
"1","1","1","1","1","0","0","0","1","1","1","1","1"
"1","1","1","0","0","0","0","1","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","0","0","0","0","0","0","1","1","1","1","1","1"
"1","1","1","1","0","1","1","0","0","0","1","1","1"
"1","1","1","1","1","1","1","1","0","0","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","0","0","0","1","1","1","1","1"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","1","1","0","1","0","0","1","0","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","1","1","1","1","0","1","1","0","0","1"
"1","1","1","1","1","1","1","0","0","1","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","1","1","1","0","0","1","0","0","1"
"1","1","1","0","0","1","0","0","1","0","0","0","0"
"1","0","0","0","0","0","0","0","1","1","0","1","1"
"1","1","1","1","0","1","0","0","0","1","0","1","1"
"1","1","1","1","0","1","0","0","0","1","0","1","1"
"1","1","1","1","1","1","1","0","0","1","0","0","1"
"1","1","1","1","1","1","0","0","1","0","1","1","1"
"1","1","1","1","1","1","1","0","0","1","0","0","1"
"1","1","1","0","1","1","1","0","1","1","1","0","1"
"1","1","1","1","1","1","1","0","1","1","1","0","1"
"1","1","1","0","1","1","1","1","0","0","0","0","1"
"1","1","1","0","0","1","1","1","1","1","1","1","1"
"1","1","1","0","1","1","0","0","0","1","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","0","1","1","0","1","0","0","0","1"
"1","1","1","1","1","1","1","0","1","0","1","1","1"
"1","1","1","1","1","1","1","0","1","0","0","0","1"
"1","1","1","0","1","0","0","0","1","1","1","1","1"
"1","1","1","1","1","1","0","0","1","1","1","1","1"
"1","1","1","0","1","1","0","0","1","1","0","1","1"
"1","1","1","1","1","1","1","0","0","0","1","0","1"
"1","1","1","0","1","1","1","0","1","1","1","1","1"
"1","1","1","0","1","0","1","0","0","0","1","1","1"
"1","1","1","1","1","1","1","1","1","0","1","1","1"
"1","1","1","0","0","0","0","0","0","1","0","0","1"
"1","1","1","0","0","0","0","0","0","0","0","0","1"
"1","1","1","1","1","1","0","0","1","1","0","0","1"
"1","1","1","0","0","0","0","0","0","1","0","0","1"
"1","1","1","1","1","0","0","0","1","1","1","1","1"
"1","1","1","0","0","0","0","0","1","1","0","1","1"
"1","1","1","0","0","1","1","0","1","1","1","1","1"
"1","0","0","0","0","1","1","0","1","0","0","0","1"
"1","1","1","0","1","1","0","0","1","1","1","1","1"
"1","1","1","0","0","1","1","0","1","1","1","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","0","0","0","0","0","0","0","0","1","1","0","1"
"1","0","0","0","0","0","0","0","1","0","0","0","1"
"1","0","0","0","0","1","1","0","1","0","0","0","1"
"1","0","0","0","0","0","0","0","0","0","0","0","1"
"1","0","0","0","0","1","1","0","1","0","0","0","1"
"1","1","1","0","0","0","0","0","1","0","1","1","1"
"1","1","1","1","1","1","1","0","0","1","1","1","1"
"1","0","0","0","0","0","0","1","0","1","0","0","1"
"1","1","1","1","1","0","0","0","0","0","1","1","1"
"1","0","0","0","0","0","0","0","0","1","0","0","1"
"1","0","0","0","0","0","0","0","1","1","0","0","1"
"1","0","0","0","0","0","0","0","0","1","0","1","1"
"1","1","1","0","0","1","0","0","0","1","1","1","1"
"1","0","0","0","0","1","0","1","1","1","0","1","1"
"1","0","0","0","0","0","0","0","0","1","1","1","1"
"1","1","1","1","0","0","0","0","1","1","1","0","1"
"1","1","1","1","1","0","1","1","1","1","1","1","1"
"1","1","1","1","1","0","1","0","1","0","1","1","1"
"1","1","1","0","0","0","0","0","1","1","1","0","1"
"1","0","0","0","0","0","0","0","1","1","1","0","1"
"1","0","0","0","0","0","1","1","0","0","0","0","1"
"1","1","1","0","0","0","0","1","1","1","1","1","1"
"1","1","1","1","1","0","0","0","0","1","1","1","1"
"1","1","1","1","0","0","0","0","0","0","1","1","1"
"1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","0","1","0","0","0","1","1","1","0","1"
"1","0","0","0","0","0","0","1","0","1","1","1","1"
"1","1","1","0","0","0","0","0","0","1","1","1","1"
"1","1","1","0","0","1","1","0","1","0","1","1","1"
"1","0","0","0","0","0","0","0","1","1","0","0","1"
"1","1","1","1","1","1","1","0","1","1","1","1","1"
"1","0","0","1","1","1","1","1","1","0","1","1","1"
"1","0","0","1","1","1","1","0","1","1","1","1","1"
"1","1","1","0","1","0","0","0","1","0","0","0","1"
"2","0","0","0","0","1","0","0","1","1","1","1","1"
"2","0","0","0","0","0","0","1","1","1","1","1","1"
"2","1","1","0","1","0","0","1","0","1","1","1","1"
"2","1","1","0","1","1","0","1","1","1","1","1","1"
"2","0","0","0","0","0","0","0","1","1","1","1","1"
"2","0","0","0","0","0","0","1","1","0","0","0","1"
"2","0","0","0","0","0","0","1","1","0","0","0","1"
"2","0","0","0","0","1","0","1","0","0","0","0","1"
"2","1","1","0","0","0","1","0","1","0","0","0","1"
"2","0","0","0","0","0","0","1","0","0","0","0","1"
"2","1","1","0","1","1","1","1","1","0","1","1","1"
"2","1","1","0","0","1","1","1","1","0","0","0","1"
"2","0","0","0","0","1","0","0","1","0","1","1","1"
"2","1","1","1","1","0","0","1","0","1","1","1","1"
"2","0","0","0","0","0","0","1","1","0","1","1","1"
"2","1","1","0","1","1","0","0","0","1","1","1","1"
"2","1","1","0","0","0","0","0","1","0","1","0","0"
"2","0","0","0","0","0","0","0","1","1","0","1","1"
"2","0","0","0","0","0","0","1","1","0","0","0","1"
"2","1","1","0","0","0","0","1","1","0","1","1","1"
"2","1","1","0","0","0","0","1","1","1","1","1","1"
"2","1","1","0","0","0","0","1","1","0","1","1","1"
"2","1","1","1","1","1","1","0","1","0","1","1","1"
"2","0","0","0","0","0","0","0","1","1","0","0","1"
"2","1","1","0","0","0","0","0","1","1","1","1","1"
"2","0","0","0","0","0","0","0","0","0","1","0","0"
"2","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","1","1","1","1","1","1","1","0","0","1"
"2","0","0","0","0","1","1","0","0","0","0","0","1"
"2","1","1","0","1","0","1","1","1","0","1","1","1"
"2","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","0","0","1","1","0","1","0","0","0","1"
"2","1","1","1","1","0","0","0","0","0","1","1","1"
"2","0","0","0","0","0","0","1","0","1","1","1","1"
"2","0","0","0","0","0","0","0","0","0","0","0","1"
"2","0","0","0","0","0","0","0","1","1","0","1","1"
"2","1","1","0","0","0","0","0","0","0","1","1","1"
"2","1","1","1","0","1","1","1","0","0","1","1","1"
"2","1","1","0","1","1","1","0","0","0","1","1","1"
"2","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","0","0","0","0","1","0","0","1","0","0"
"2","1","1","1","1","0","0","1","1","1","1","1","1"
"2","1","1","0","1","0","0","1","0","0","1","1","1"
"2","0","0","0","0","0","0","1","0","0","0","1","1"
"2","1","0","0","0","0","1","1","0","0","0","0","0"
"2","1","1","0","0","0","0","1","0","0","1","0","1"
"2","0","0","0","0","0","0","1","1","1","1","1","1"
"2","0","0","1","0","0","0","1","1","0","1","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","1"
"2","1","1","0","0","1","0","0","0","0","1","1","1"
"2","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0"
"2","1","0","0","0","0","0","0","0","0","0","0","1"
"2","0","0","0","0","0","0","1","0","0","0","0","1"
"2","1","1","0","0","0","0","1","0","0","0","0","1"
"2","0","0","0","0","1","0","0","1","1","0","0","0"
"2","1","1","0","0","0","0","0","0","1","1","0","0"
"2","1","1","1","0","0","0","1","1","0","1","1","1"
"2","1","1","1","1","1","1","0","1","1","1","1","1"
"2","1","1","0","0","0","0","0","1","0","1","1","1"
